"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"11-22","6 WOODSIDE LANE","6","3","2","0","0","0","0.00%","1000","19","","False","4","1996","100","11/06/2007","2106","855900","-5.12","False","RANCH","1000",
"11-3","14 MORGAN STREET","11","5","2","0","1","2","0.00%","6700","6","","False","5","1969","1175000","11/16/2021","3864","1117000","2.95","False","COLONIAL","6700",
"11-4","11 MORGAN STREET","8","4","2","0","1","1","0.00%","6700","5","","False","5","1967","600000","06/30/2006","2565","933600","8.28","False","CAPE","6700",
"11-5","12 MORGAN STREET","6","3","3","0","0","1","0.00%","6700","6","","False","3","1978","690000","01/22/2020","3149","886500","6.58","False","COLONIAL","6700",
"11-7","20 KIMBALL AVENUE","9","4","2","0","1","2","0.00%","6700","6","","False","5","1967","100","03/23/2015","3122","932000","9.61","False","COLONIAL","6700",
"11-8","18 KIMBALL AVENUE","9","4","2","0","1","2","0.00%","6700","18","","False","5","1972","1195000","10/11/2023","2925","992000","12.73","False","SPLIT ENT","6700",
"11-9","16 KIMBALL AVENUE","9","4","2","0","1","2","0.00%","6700","18","","False","5","1972","200000","05/02/2016","2432","867900","6.07","False","SPLIT ENT","6700",
"12-1","11 PLEASANT STREET","5","3","2","0","0","0","0.00%","3000","15","","False","3","1920","0","09/01/1972","1660","718600","10.13","False","OLD STYLE","3000",
"12-10","4 WOODSIDE LANE","8","4","2","0","1","1","0.00%","1000","6","","False","3","1988","465675","12/30/2011","2604","846600","16.07","False","COLONIAL","1000",
"12-11","2 WOODSIDE LANE","8","3","2","0","1","1","0.00%","1000","6","","False","3","2012","1","04/20/2023","2240","861100","-0.39","False","COLONIAL","1000",
"12-14","52 PLEASANT STREET","7","3","1","0","0","1","0.00%","3000","19","","False","3","1950","1","05/05/2023","1654","838100","3.8","False","RANCH","3000",
"12-17","38 PLEASANT STREET","9","4","2","0","1","1","0.00%","3000","6","","False","4","1965","100","11/01/2019","2434","942300","21.6","False","COLONIAL","3000",
"12-18","36 PLEASANT STREET","8","4","1","0","1","1","0.00%","3000","6","","False","4","1965","0","06/01/1971","2457","896300","16.9","False","COLONIAL","3000",
"12-19","32 PLEASANT STREET","9","4","2","0","1","2","0.00%","3000","6","","False","3","1965","625000","11/18/2020","2281","872000","14.66","False","COLONIAL","3000",
"12-2","15 PLEASANT STREET","9","4","2","0","1","2","0.00%","3000","6","","False","6","1990","1","07/25/2013","3661","1158400","14.97","False","COLONIAL","3000",
"12-20","30 PLEASANT STREET","7","4","1","0","1","1","0.00%","3000","6","","False","3","1992","10","01/07/2021","3510","977000","14.42","False","COLONIAL","3000",
"12-21","26 PLEASANT STREET","9","5","3","0","1","1","0.00%","3000","1","","False","3","1656","100","02/27/2018","3322","923600","14.1","False","ANTIQUE","3000",
"12-22","16 PLEASANT STREET","9","4","2","0","1","0","0.00%","3000","15","","False","3","1900","1","04/13/2023","1192","870300","20.44","False","OLD STYLE","3000",
"12-23","12 PLEASANT STREET","7","4","2","0","0","0","0.00%","3000","5","","False","3","1945","1","09/29/2020","1696","776800","10.78","False","CAPE","3000",
"12-24","10 PLEASANT STREET","7","2","1","0","1","0","0.00%","3000","6","","False","3","1909","447500","06/28/2017","1562","810500","20.22","False","COLONIAL","3000",
"12-26","17 JUNIPER STREET","8","4","3","0","0","1","0.00%","5020","19","","False","3","1951","0","09/13/2006","2589","805700","-4.88","False","RANCH","5020",
"12-27","16 JUNIPER STREET","8","4","3","0","0","1","0.00%","5020","5","","False","3","1952","550000","08/15/2007","3006","893300","13.55","False","CAPE","5020",
"12-29","15 R JUNIPER STREET","7","5","1","0","1","1","0.00%","5020","19","","False","4","1978","99","04/01/2008","3699","1059100","3.79","False","RANCH","5020",
"12-3","17 PLEASANT STREET","8","4","3","0","0","2","0.00%","3000","6","","False","5","1950","575000","01/23/2012","3378","925800","15.45","False","COLONIAL","3000",
